{'application_name': 'simpoint', 'optimization_objectives': ['performance', 'energy'], 'design_of_experiment': {'doe_type': 'random sampling', 'number_of_samples': 500}, 'optimization_iterations': 0, 'evaluations_per_optimization_iteration': 10, 'models': {'model': 'random_forest', 'number_of_trees': 10, 'max_features': 0.5, 'bootstrap': False, 'min_samples_split': 5}, 'input_parameters': {'rob_size': {'parameter_type': 'ordinal', 'values': [16, 32, 64, 128, 256, 512], 'prior': 'uniform', 'custom_gaussian_prior_means': False, 'custom_gaussian_prior_stds': False}, 'lq_size': {'parameter_type': 'ordinal', 'values': [4, 16, 64, 128, 256], 'prior': 'uniform', 'custom_gaussian_prior_means': False, 'custom_gaussian_prior_stds': False}, 'sq_size': {'parameter_type': 'ordinal', 'values': [4, 16, 64, 128, 256], 'prior': 'uniform', 'custom_gaussian_prior_means': False, 'custom_gaussian_prior_stds': False}, 'p_width': {'parameter_type': 'integer', 'values': [4, 12], 'prior': 'uniform', 'custom_gaussian_prior_means': False, 'custom_gaussian_prior_stds': False}, 'interval': {'parameter_type': 'ordinal', 'values': [16000000], 'prior': 'uniform', 'custom_gaussian_prior_means': False, 'custom_gaussian_prior_stds': False}}, 'log_file': 'hypermapper_logfile.log', 'verbose_logging': False, 'profiling': False, 'noise': True, 'profiling_file': 'profiles/profile.csv', 'append_profiles': False, 'number_of_cpus': 0, 'max_number_of_predictions': 1000000, 'time_budget': -1, 'number_of_repetitions': 1, 'hypermapper_mode': {'mode': 'default'}, 'output_image': {'output_image_pdf_file': 'output_pareto.pdf', 'image_xlog': False, 'image_ylog': False}, 'feasible_output': {'name': 'Valid', 'true_value': 'True', 'false_value': 'False', 'enable_feasible_predictor': False, 'enable_feasible_predictor_grid_search_on_recall_and_precision': False, 'feasible_predictor_grid_search_validation_file': '/home/lnardi/spatial-lang/results/apps_classification_test_set/BlackScholes.csv'}, 'timestamp': 'Timestamp', 'run_directory': '.', 'output_data_file': 'output_samples.csv', 'output_pareto_file': 'output_pareto.csv', 'acquisition_function': 'EI', 'scalarization_method': 'tchebyshev', 'weight_sampling': 'flat', 'bounding_box_limits': [0, 1], 'optimization_method': 'bayesian_optimization', 'local_search_starting_points': 10, 'local_search_random_points': 10000, 'local_search_evaluation_limit': -1, 'scalarization_key': 'scalarization', 'local_search_scalarization_weights': [1], 'print_parameter_importance': False, 'normalize_inputs': False, 'epsilon_greedy_threshold': 0.1, 'prior_method': 'pibo', 'prior_beta': -1, 'prior_floor': 1e-06, 'model_posterior_weight': 10, 'model_good_quantile': 0.05, 'prior_estimation_file': 'samples.csv', 'prior_estimation_quantile': 0.1, 'estimate_multivariate_priors': False, 'resume_optimization': False, 'resume_optimization_data': 'output_samples.csv', 'bandwidth_parameter': 0, 'bandwidth_n_factor': 100, 'prior_limit_estimation_points': 10000, 'posterior_computation_lower_limit': 1e-08, 'custom_gaussian_prior_means': [0], 'custom_gaussian_prior_stds': [-1], 'acquisition_function_optimizer': 'local_search', 'evolution_population_size': 50, 'evolution_generations': 150, 'mutation_rate': 1, 'evolution_crossover': False, 'regularize_evolution': False, 'batch_size': 2, 'print_best': 'auto', 'print_posterior_best': False, 'cma_es_sigma': 0.2, 'cma_es_starting_points': 1, 'cma_es_random_points': 10000}
Design of experiment phase, number of new doe samples = 500 .......
rob_size,lq_size,sq_size,p_width,interval,performance,energy,Timestamp
512,64,64,5,16000000,0.45182298127473997,5.254854985934053,548932
256,256,4,9,16000000,0.37334192563158003,4.931162033378283,548932
16,64,4,12,16000000,1.18668297589666,14.345534146070168,548932
64,16,128,7,16000000,0.69809946587532,7.956485946668563,548932
16,16,64,10,16000000,1.1846335955087,13.775503037045967,548932
128,16,128,5,16000000,0.45523468402398,5.207302850942713,548932
32,256,64,7,16000000,0.87739485059554,9.8194861625106,548932
128,16,64,11,16000000,0.40236821113143995,5.398379663838185,548932
256,4,64,4,16000000,0.7710263995486399,8.216216328757064,548932
32,128,4,10,16000000,0.8715101750742,10.345769955145391,548932
512,16,256,7,16000000,0.37180671740886,4.732167160508103,1117895
64,4,16,9,16000000,0.7117119374825,8.420124513026002,1117895
16,16,64,8,16000000,1.19267672149618,13.332775154746871,1117895
64,16,128,9,16000000,0.68372540338446,8.153129138571748,1117895
16,128,64,10,16000000,1.1846335955087,13.799724513207135,1117895
128,16,64,7,16000000,0.42406659386615997,5.120744970440067,1117895
512,16,4,7,16000000,0.37264497142492004,4.713138031098175,1117895
64,16,256,11,16000000,0.6700308653940399,8.37915703687916,1117895
128,256,64,9,16000000,0.40797561790298,5.215659418079873,1117895
512,128,256,4,16000000,0.55904189134796,6.221417635132459,1117895
64,64,128,9,16000000,0.683726126396,8.160237983181414,1683465
128,256,16,11,16000000,0.40263400935099997,5.416276005499978,1683465
256,256,64,4,16000000,0.55905346378806,6.169246525862047,1683465
32,256,256,9,16000000,0.8684132692584999,10.16697193947478,1683465
64,16,64,12,16000000,0.6705233947321,8.53897404598229,1683465
16,256,16,4,16000000,1.2280259478524598,12.718355628528698,1683465
32,64,128,12,16000000,0.8513061304020999,10.563791981721703,1683465
256,64,4,12,16000000,0.39188760102886,5.5011945999335445,1683465
512,256,16,10,16000000,0.3794529790382,5.203563380312953,1683465
64,128,4,4,16000000,0.7433332498642,7.910926497185387,1683465
32,4,256,4,16000000,0.91001699915504,9.56023535267083,2247925
64,256,256,7,16000000,0.69809946587532,8.007985489168084,2247925
32,128,128,11,16000000,0.8640217848226799,10.50084205163796,2247925
512,16,128,7,16000000,0.37180671740886,4.718463525439294,2247925
32,64,256,5,16000000,0.8971052321529599,9.633890815348737,2247925
64,16,256,12,16000000,0.6705233947321,8.568156482716995,2247925
64,16,4,7,16000000,0.6988800721616799,7.9445802000707335,2247925
128,64,16,4,16000000,0.56140990800068,6.130282245378533,2247925
64,4,4,6,16000000,0.72669506085696,8.0430686969267,2247925
256,64,16,9,16000000,0.38739317287782,5.046710313755403,2247925
32,256,4,8,16000000,0.86776618028744,9.908043737451006,2794129
512,64,256,11,16000000,0.39242389606343997,5.4890463766220945,2794129
64,4,64,8,16000000,0.6985020083526999,8.103986025368274,2794129
64,4,128,10,16000000,0.70170065082696,8.50976223959079,2794129
32,4,4,8,16000000,0.8715917297649001,9.909343510070824,2794129
128,16,256,11,16000000,0.40236821113143995,5.420098605353272,2794129
128,64,4,11,16000000,0.40315016978861995,5.404959310570817,2794129
64,256,128,4,16000000,0.7425468651541199,7.940888667060021,2794129
32,16,256,11,16000000,0.8640217848226799,10.504912249926745,2794129
64,256,16,10,16000000,0.67076455800996,8.200570936417211,2794129
64,16,256,8,16000000,0.68378184939894,7.997481517837607,3366446
128,256,128,5,16000000,0.45632076206253996,5.24045153626924,3366446
